Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2020-03-17 01:43:48;2020-03-17 09:00:46;80%;95%;;0;1184;Normal;101.0;;52.2;26217.2;22284.6;1136.1;2020-03-17 06:00:00;2020-03-17 06:00:00;true;0.0;32.0;No weather;
2020-03-18 01:55:39;2020-03-18 09:03:03;83%;97%;;0;1037;Normal;100.3;;40.2;25644.4;22652.5;512.9;2020-03-18 06:00:00;2020-03-18 06:00:00;true;0.0;32.0;No weather;
2020-03-19 01:46:05;2020-03-19 09:00:52;80%;98%;;0;1035;Normal;100.6;;51.9;26087.3;23130.7;1304.4;2020-03-19 06:00:00;2020-03-19 06:00:00;true;0.0;32.0;No weather;
2020-03-20 01:26:54;2020-03-20 09:00:27;73%;98%;;0;2019;Normal;101.3;;73.9;27212.9;23312.4;544.3;2020-03-20 06:00:00;2020-03-20 06:00:00;true;0.0;32.0;No weather;
2020-03-21 01:10:26;2020-03-21 08:57:01;92%;98%;;0;1521;Normal;101.8;;37.5;27995.4;25662.5;1679.7;2020-03-21 06:00:00;2020-03-21 06:00:00;true;0.0;32.0;No weather;
2020-03-22 00:56:27;2020-03-22 09:00:44;93%;97%;;0;766;Normal;101.5;;43.7;29056.7;26247.9;581.1;2020-03-22 06:00:00;2020-03-22 06:00:00;true;0.0;32.0;No weather;
2020-03-23 01:55:10;2020-03-23 09:00:43;85%;96%;;0;783;Normal;100.4;;35.5;25532.5;22383.5;1617.1;2020-03-23 06:00:00;2020-03-23 06:00:00;true;0.0;32.0;No weather;
2020-03-24 01:13:07;2020-03-24 09:00:40;88%;95%;;0;658;Normal;100.5;;45.1;28054.0;24968.0;561.1;2020-03-24 06:00:00;2020-03-24 06:00:00;true;0.0;32.0;No weather;
2020-03-25 01:31:09;2020-03-25 08:56:06;88%;94%;;0;728;Normal;100.7;;36.9;26697.0;23226.4;1512.8;2020-03-25 06:00:00;2020-03-25 06:00:00;true;0.0;32.0;No weather;
2020-03-26 01:32:15;2020-03-26 09:05:47;84%;97%;;0;812;Normal;101.1;;48.5;27212.5;23130.6;1360.6;2020-03-26 06:00:00;2020-03-26 06:00:00;true;0.0;32.0;No weather;
2020-03-27 01:38:23;2020-03-27 09:01:09;85%;98%;;0;1640;Normal;101.0;;40.7;26565.9;24352.1;531.3;2020-03-27 06:00:00;2020-03-27 06:00:00;true;0.0;32.0;No weather;
2020-03-28 01:02:09;2020-03-28 09:00:34;75%;97%;;0;503;Normal;101.0;;75.5;28705.6;23060.2;574.1;2020-03-28 06:00:00;2020-03-28 06:00:00;true;0.0;32.0;No weather;
2020-03-29 02:10:26;2020-03-29 09:00:46;79%;95%;;0;453;Normal;100.4;;39.9;24620.5;22732.9;492.4;2020-03-29 06:00:00;2020-03-29 06:00:00;true;0.0;32.0;No weather;
2020-03-30 01:42:14;2020-03-30 09:02:19;87%;94%;;0;597;Normal;100.1;;36.5;26405.6;23501.0;1320.3;2020-03-30 06:00:00;2020-03-30 06:00:00;true;0.0;32.0;No weather;
2020-03-31 00:42:24;2020-03-31 08:53:22;88%;92%;;0;502;Normal;100.6;;53.1;29458.4;23664.9;1472.9;2020-03-31 06:00:00;2020-03-31 06:00:00;true;0.0;32.0;No weather;
2020-04-01 01:20:44;2020-04-01 09:01:06;89%;93%;;0;562;Normal;101.0;;40.4;27621.8;23294.3;1841.5;2020-04-01 06:00:00;2020-04-01 06:00:00;true;0.0;32.0;No weather;
2020-04-02 00:26:54;2020-04-02 09:00:40;96%;92%;;0;636;Normal;101.3;;45.1;30826.7;26099.9;2568.9;2020-04-02 06:00:00;2020-04-02 06:00:00;true;0.0;32.0;No weather;
2020-04-03 01:36:47;2020-04-03 09:00:59;75%;92%;;0;531;Normal;101.4;;62.9;26651.7;23364.7;533.0;2020-04-03 06:00:00;2020-04-03 06:00:00;true;0.0;32.0;No weather;
2020-04-04 01:22:52;2020-04-04 09:00:46;81%;94%;;0;983;Normal;100.8;;54.7;27473.9;26924.4;549.5;2020-04-04 06:00:00;2020-04-04 06:00:00;true;0.0;32.0;No weather;
2020-04-05 01:10:10;2020-04-05 08:21:33;82%;94%;;0;550;Normal;99.6;;43.6;25882.7;21741.5;1121.6;2020-04-05 06:00:00;2020-04-05 06:00:00;true;0.0;32.0;No weather;
2020-04-06 01:38:30;2020-04-06 09:01:22;85%;94%;;0;265;Normal;99.9;;40.6;26572.4;24269.4;531.4;2020-04-06 06:00:00;2020-04-06 06:00:00;true;0.0;32.0;No weather;
2020-04-07 01:21:41;2020-04-07 09:00:39;87%;94%;;0;885;Normal;101.0;;42.5;27538.3;23774.8;1560.5;2020-04-07 06:00:00;2020-04-07 06:00:00;true;0.0;32.0;No weather;
